web-scraper-order,titre_poste,url,ref_offre,intitule_poste,descri_mission,profil
1720689774-23,Chargé de gestion des subventions H/F,Chargé de gestion des subventions H/F,Réf. : 2024-10212,Chargé de gestion des subventions H/F,"Les missions principales sont :  Assurer le suivi budgétaire et comptable des subventions et des bourses au service des politiques publiques Vie Associative et JeunesseCoordination du process de gestion des associations et dispositifs transversaux et référent.e VDN , CCAS et NM (services mutualisés) de l’outil métier Les activités principales du postes : Coordination du process de gestion des subventions de la vie associativePréparation des tableaux annexes des subventions inscrites au conseil municipal et suivi de l’exécution administrative et financièreParticipation à la commission subventionContribution au suivi budgétaire annuelParticipation à la mise en place d'un portail des aides dédiés aux subventions de la Ville, du CCAS et de Nantes Métropole   Localisation du poste : NANTIL C, 5 rue Célestin Freinet 44200 Nantes.","Les connaissances et savoirs attendus : Connaissance des finances publiquesCapacité à comprendre le processus de gestion administrative, juridique et comptable relatif aux subventionsMaîtrise des outils bureautiquesAptitudes relationnelles et rédactionnellesCapacité à inscrire son action dans un cadre partenarial et des relations fonctionnelles"
1720689774-158,Responsable de secteur régies et logistique H/F,Responsable de secteur régies et logistique H/F,Réf. : 2024-10378,Responsable de secteur régies et logistique H/F,"Vous pilotez et assurez le management opérationnel des équipes des régies des centres techniques et la coordination des moyens logistique des activités en matière de gestion de l'espace public (entretien de voirie, signalisation, nettoiement urbain) sur le territoire du pôle.Vos missions sont : Assurer le pilotage managérial des activités des deux centres techniques représentant chacun 45 agents et d’une unité de deux agents de maîtrise pour assurer la logistique nécessaire au bon fonctionnement du pôle sur les thématiques parcs véhicules, habillements, fournitures des consommables usuels, comptages routiers gestion des déclaration d'intention de commencement de travaux;Participer aux actions de la ligne managériale sur les activités des centres techniques et à l’élaboration des bilans de services et d’activité.Gérer les réponses aux usagers sur les thématiques de la gestion quotidienne.Assurer le suivi de la certification, la programmation des réunions et points des services nécessaires au suivi de cette certification ISO 9001 de l’activité de nettoiement urbainAssurer la fonction du responsable du service de gestion de l’espace public en cas d’absence du chef de service.  Jury le 12 septembre 2024","• Connaissance de la voirie et des réseaux publics, en matière d’aménagement de voirie et réseaux• Notions de conduite d’opération, et conduite du changement• Capacité d'animation, à travailler en transversalité et à fédérer• Avoir le sens de l'analyse, avoir un esprit de synthèse et à être force de propositions• Bonne pratique des logiciels bureautiques courants et métier"
1720689794-159,Agent d'enlèvement des graffitis H/F,Agent d'enlèvement des graffitis H/F,Réf. : 2024-10410,Agent d'enlèvement des graffitis H/F,"Rattaché au chef d'équipe, vous assurez l’enlèvement des graffiti et le nettoiement du mobilier urbain sur un secteur. A ce tire, vous activés sont : -Enlèvement des graffiti sur les immeubles en limite du domaine public communautaire et sur le mobilier
urbain
- Application de protections préventives à la salissure sur tous supports
-Réfection des supports après nettoyage
- Nettoyage du mobilier urbain (affiches et autocollants) et de la chaussée après intervention
- Suivi de l’activité par prise de photos et tenue de fiches d’intervention
- Salage ou sablage des trottoirs en cas de verglas ou d’enneigement
- Rôle d’alerte et d’information sur l’état de propreté du secteur d’intervention et toute anomalie
constatée Horaires de travail : du lundi au vendredi 6h / 13h15Possibilité d’intervention en dehors des heures de travail en cas de manifestations, accidents, neige ou verglas et participation à l'astreinte propreté urbaine.",Vous disposez d’une expérience sur un poste similaire et/ou possédez de bonnes connaissances dans les métiers de la propreté et maîtrisez les techniques de nettoyage de l’espace public. Vous connaissez les règles d’hygiène et de sécurité dont la signalisation temporaire de chantier. Une connaissance de base des techniques d’enlèvement de graffiti dans l’application de peinture serait appréciée.Vous êtes titulaire du permis B. Vous avez un bon sens relationnel et participez activement à la relation quotidienne avec l’usager sur le terrain et appréciez le travail en équipe.
1720689795-24,Magasinier H/F,Magasinier H/F,Réf. : 2024-10251,Magasinier H/F,"Participer à la gestion du magasin (matériel, matériaux):Dans le cadre des services mutualisés :Enregistrement des entrées et sorties des articles (gestion de stock informatisée)Préparation des commandes de fournitures des matériels et matériaux devant être utilisés par les équipes de voirie et livraison sur les chantiers ou dans les dépôtsDemandes de devisRéception des marchandisesClassement et rangement des matériels (magasin et parc à matériaux)Conduite d’un chariot élévateur et d’un chargeur",Vous avez la connaissance en gestion de stock informatiséeVous avez la connaissance des règles de la comptabilité et de la commande publiquesVous avez la connaissance de logiciels bureautique courants et de CoriolisVous avez les connaissances des règles d’hygiène et de sécurité Vous avez le Permis B Vous avez l'Habilitation à la conduite de chargeur électrique Les horaires: 7h30 - 11h45 / 13h - 16 h30
1720689814-160,Référent(e) comptable - pôle recettes inventaire régies : unité inventaire H/F,Référent(e) comptable - pôle recettes inventaire régies : unité inventaire H/F,Réf. : 2024-10443,Référent(e) comptable - pôle recettes inventaire régies : unité inventaire H/F,"Dans un environnement déconcentré et sur deux collectivités, le·a gestionnaire comptable unité inventaire intervient en étroite collaboration avec le·a chargé·e d'unité auprès des directions / départements de son périmètre et a pour missions de :- assurer la tenue et le suivi de l'inventaire selon la conformité réglementaire et comptable, en assurant le respect du délai global de paiement, soit :
• vérifier l’article utilisé, créer et accrocher le numéro d'inventaire sur toutes les propositions de mandatement ou de recettes d'investissement puis transmission des propositions aux autres unités du service comptabilité,
• traiter comptablement les dépenses et recettes liés à l’inventaire (acquisitions, cessions…) et enregistrement dans l’inventaire,
• consolider des pièces justificatives et rapprochement quotidien avec les flux électroniques adressés au comptable public, 
• traiter les rejets (internes et externes), 
• gérer la boîte mail générique de l'unité en respectant les procédures mises en place,- Améliorer la fiabilité et la qualité de l’inventaire :
• intégration des travaux,
• pointage et ajustement de l’inventaire et de l’actif du comptable,
• contrôle et transmission des flux inventaire au comptable : acquisitions, cessions, amortissements, mise à la réforme…- missions générales :
• conseiller et accompagner les cellules de gestion dans l'élaboration de leurs propositions de mandatement d’investissement,• participer à l’élaboration des procédures comptables et renseigner les tableaux de
bord","Vous détenez de bonnes connaissances budgétaires et comptables (nomenclatures
M57 et M4) ainsi que l’environnement réglementaire des titres de recettes et de son
volet exécution comptable. Une connaissance de la comptabilité privée serait un plus
et appréciée.
En plus d'une bonne maîtrise de la suite bureautique Microsoft Office ou LibreOffice, la
connaissance du logiciel comptable et financier Coriolis est appréciée.
Vous détenez des qualités relationnelles et rédactionnelles qui vous permettent de
travailler en équipe et êtes reconnu·e pour votre curiosité, votre adaptabilité, votre rigueur et sens de l’organisation."
1720689815-25,Référent assainissement H/F,Référent assainissement H/F,Réf. : 2024-9187,Référent assainissement H/F,"Instruction du volet assainissement (EU-EP) des dossiers d’autorisation d’urbanisme : demandes d'autorisation du droit des sols (ADS : permis de construire, certificats d'urbanisme, permis d'aménager) et les demandes de classement de voirie auprès des services du Pôle (hors industriels instruits par la DCE). 
Encadrement de 2 agents.
Programmation et réalisation des travaux d'assainissement : conduite d'opération et de la maîtrise d’œuvre de travaux d'extension, de rénovation ou de grosses réparations des réseaux d'assainissement eaux usées attachés ou non à des opérations de voirie, préparation des délibérations pour les opérations dont il est le conducteur, suivi budgétaire des opérations de travaux.
Relation avec le territoire et connaissance du patrimoine assainissement (eaux usées et eaux pluviales) : instruction des opérations d'aménagement (hors ZAC et lotissements) de la phase projet jusqu'à la remise d'ouvrages sur le territoire du pôle et contrôle la bonne prise en compte des règles et prescriptions techniques édictées par Nantes Métropole, assurer une gestion patrimoniale en suppléance de l'agent de maîtrise des ouvrages, de ce qui ne relève pas des missions des opérateurs.
Relation aux usagers assainissement : gestion des relations avec les usagers sur les questions relatives à l'assainissement des eaux usées et des eaux pluviales, préparation des réponses écrites aux réclamations des usagers, en apportant des renseignements, notamment lors des remises en conformité, délivrance des renseignements et conseils techniques sur le service public d'assainissement de Nantes Métropole, réalisation d'enquêtes dans le cas d’inondations, mise à jour des différents outils de suivi.
Relation aux opérateurs et autorité organisatrice : suivi et contrôle de la bonne exécution des prestations d'exploitation des opérateurs d'assainissement (maintenance et entretien des réseaux, curage, réalisation des branchements neufs, renouvellement des équipements),
Travail en collaboration, appui technique. Ce poste vous intéresse, rejoignez-nous","Vous avez les connaissances affirmées en assainissement et sécurité sur les chantiers, en VRD, en marchés publics et instances et processus de Nantes Métropole
Vous avez une forte expérience en conduite de projets
Vous avez une bonne capacité d’analyse et force de propositions
Vous avez les aptitudes à la présentation de dossiers en réunion de travail voire en réunion publique"
1720689834-161,Responsable appui à la stratégie et portefeuille de projets d'activités H/F,Responsable appui à la stratégie et portefeuille de projets d'activités H/F,Réf. : 2024-10363,Responsable appui à la stratégie et portefeuille de projets d'activités H/F,"Sous la responsabilité du Directeur des infrastructures et services,vous êtes son véritable bras droit et assurez une mission d’appui à la stratégie auprès du directeur ainsi que le pilotage du portefeuille de projets et d’activités de la Direction.Vous assurez la continuité de la représentation de la direction dans les instances du Département des Ressources Numériques (DRN) et de la Direction Générale Ressources (DGR). Enfin, vous pilotez ou coordonnez des projets informatiques structurants.Vos missions :Piloter et soutenir l’animation d’une stratégie transversale des services de la Direction Infrastructures et Services
- Établir et entretenir la feuille de route de modernisation des infrastructures
- S’assurer de l’adéquation avec le schéma directeur numérique responsable et les feuilles de route des autres directions du DRN
- Préparer et animer les instances de gouvernance de la direction- Assurer la continuité de la représentation de la direction dans les instances 
- Participer à la capitalisation et à la valorisation des stratégies techniques et des socles dans le cadre de l’industrialisation des outils de la DIS
Piloter le portefeuille de projets et d’activités de la DIS- Animer et suivre le portefeuille de projets et d’activités de la DIS en lien avec les équipes de la DIS,
- Recueillir les nouveaux besoins en projets d’infrastructures,
- Participer à la coordination globale de l’activité avec le responsable de portefeuille projets et activités DRN
- Développer la culture projet au sein de la DIS
- Assister les chef.fes de projet DIS Assurer la direction ou la coordination de projets structurants- Piloter les projets techniques structurants pour la DIS,
- Animer et coordonner l'ensemble des acteurs au sein de la DIS et/ou en relation avec les autres directions du DRN et/ou la mission innovation numérique,
- Manager fonctionnellement les équipes dans le cadre de la réalisation de ces projetsDe plus, vous serez force de proposition pour anticiper les évolutions des domaines couverts par la direction et contribuerez à l’élaboration et au suivi de l’exécution du budget de la DIS","Disposant de réelles connaissances techniques sur l’architecture et des bonnes pratiques ITIL, vous avez démontré vos capacités à gérer des processus transversaux. Agurerri.e en management stratégique et management fonctionnel d'équipe, vous avez de réelles capacités à piloter des projets complexes et à vous investir sur plusieurs projets simultanés. De plus , vous savez coordonner, mobiliser, animer et réguler les activités de chef.fes de projets, ingénieurs et technicien.nes. Reconnu.e pour votre sens de la négociation, vous savez gérer des situations sensibles, urgentes ou conflictuelles et vous adapter à des interlocuteurs diversifiés. Autonome, vous avez le sens du travail en équipe. Une connaissance des collectivités et de leurs spécificités (marchés et finances publics) serait un plus. Une connaissance des enjeux du numérique responsable, de la RGPD et des enjeux de sécurité des systèmes d'information est attendue."
1720689835-26,Gestionnaire temps de travail H/F,Gestionnaire temps de travail H/F,Réf. : 2024-10260,Gestionnaire temps de travail H/F,"Sous l'autorité du responsable du service Temps de travail /Déplacements et Mobinantes+, vous assurez les fonctions de gestion et de suivi de la thématique temps de travail auprès des directions opérationnelles NM, VDN, CCAS et de structures satellites tel l'EBANSN. Vos missions s'articuleront autour des axes suivants :Assister en 1er niveau les gestionnaires temps de travail et les cellules de gestionAssister téléphoniquement les gestionnaires dans les directions sur le réglementaire 
Accompagner les gestionnaires des directions sur les fonctionnalités de l'outil gestion du temps 
Accompagner les gestionnaires dans leur activité de saisie
Assurer la formation des gestionnaires temps de travailParticiper à l'administration de l'outil gestion en lien avec le référentDéployer et mettre à jour les paramètres dans l'outil en fonction des évolutions organisationnelles (groupes, hiérarchie, nouveaux agents) ou des arrivants dans l'outil
Attribuer les cartes de badgeage
Attribuer le rôle de gestionnaire temps et mettre à jour le portefeuille des gestionnaires temps de travailAvoir le rôle de contrôleAssurer un contrôle des activités des gestionnaires, et au besoin corriger 
Suivre l'évolution des compteurs temps, CET 
Avoir un rôle d'alerte auprès des gestionnaires temps de travailEtre contributeur à l’activité du serviceAccompagner le référent de l'unité dans la cohérence de l'outil avec le réglementaire 
Participer à la consolidation d'un référentiel réglementaire et assurer sa mise à jour
Produire des fiches techniques d’anomalies (MANTIS)Instruire les dossiers du temps de travailAutorisations Spéciales d’Absence de la Ville de Nantes/CCAS en lien avec les cellules de gestion
Campagnes annuelles de temps partiel sur autorisation et CET Ville de Nantes/CCAS
Conventionnements CET des agents nouvellement arrivés
Reports de congés
Congés bonifiés","La réglementation relative au temps de travailConnaissances du statut de la fonction publique territoriale et hospitalièreConnaissances de l'organisation et circuits de validation au sein des structuresMaitrise des outils bureautiques et applications métier (eTemptation, GP)Capacité à travailler en équipeCapacité à travailler en autonomieRéactivité, respect des délaisSens de l'organisation, de la rigueurQualités d'accueil et d'écouteLe poste vous intéresse, rejoignez-nous !"
1720689854-27,Chargé  des collections du Muséum H/F,Chargé  des collections du Muséum H/F,Réf. : 2023-7002,Chargé  des collections du Muséum H/F,"Sous la responsabilité de votre maître de stage, vos missions s’articuleront autour des axes suivants et concernent essentiellement l'expertise des spécimens :Compléter les inventaires et informatiser les données.Participer à leur réorganisation et rangement dans les nouvelles réserves muséales.Identifier les spécimens phares ayant un fort intérêt scientifique, historique ou muséographique, les étudier et les documenter en vue de leur présentation au public dans la nouvelle scénographie du muséum.","Vous préparez  une Licence 3 ou un Master 2 en Sciences de la Terre et de l’Univers.Vous disposez  :De connaissances générales en sciences de la terre et de la vie,Connaissances ou intérêt particulier pour un domaine scientifique (zoologie, paléontologie),Notions en classification des collections de sciences naturelles,Connaître les principes de la conservation préventive et de la restauration,Connaître le protocole et les techniques de manipulation des objets,Vous maîtrisez l’outil informatiqueApprentissage rapide et intérêt pour l’utilisation de nouveaux logiciels (type bureautique) requis
Avoir de l’expérience dans le domaine de la saisie répétitive de masse Vous avez des capacités de concentration pendant plusieurs heures consécutives,Grande minutie, patience et autonomie requises,Rigueur indispensable et respect impératif des consignes (protocoles de saisie),Capacité à l’autocorrection et à l’autocontrôle,Esprit d’équipe de synthèse et capacité rédactionnelle  Conditions d'accueil selon statut et au prorata du temps de présence :- Gratification à hauteur de 4,35 € / heure,
 - Possibilité titres de restauration dématérialisés de 10,60 € pris en charge 
   à 60 % par employeur,
 - Participation transport
 - 2,5 jours de congés / mois.   Vous vous reconnaissez ? Alors, n'hésitez plus, ce stage est fait pour vous !"
1720689854-162,"Directeur général adjoint Territoires, Proximité, Déchets et Sécurité H/F","Directeur général adjoint Territoires, Proximité, Déchets et Sécurité H/F",Réf. : 2024-10317,"Directeur général adjoint Territoires, Proximité, Déchets et Sécurité H/F","Sous l’autorité du DGS, membre du CODIR, vous pilotez les politiques publiques de protection – médiation – sécurité, des déchets, des conciliations et usages des espaces publics. Vous contribuez à l’ensemble des politiques publiques et assurez l’animation de la proximité, instauré comme mode de faire de la collectivité. Vous animez et soutenez les équipes de 9 directions (Risques et protection, Tranquillité publique, Déchets, et 6 pôles de proximité), et de 2 missions transversales (Prévention et Gouvernance et coordination territoriale). Vous garantissez la sécurité et la tranquillité publique des habitant·e·s, et œuvrez à la montée des coopérations intercommunales dans le domaine de la sécurité et de la prévention de la délinquance. Dans un contexte de crise accentué, vous animez les thématiques de gestion des risques et de protection des populations. Vous garantissez au quotidien la production d’un service public de qualité et réactif pour la population, en matière de nettoiement, entretien et gestion de l’espace public, de l’éclairage public, de l’assainissement. Vous développez les projets d’aménagement, de gestion et d’entretien de l’espace public sur l’ensemble du territoire métropolitain en relation avec chaque Maire.  Sensible aux enjeux de la transition écologique, vous intensifiez la trajectoire de prévention, de la collecte, du traitement, du tri et de la valorisation des déchets à l’échelle de la métropole, et préservez les ressources et la qualité du cadre de vie des habitant·e·s. Vous dialoguez avec les territoires, écoutez les besoins des usager·ère·s et des élu·e·s, et fonctionnez en coopération permanente avec les directions thématiques et les partenaires. Vous animez le dialogue permanent entre Nantes Métropole et les 24 communes membres, pour prendre en compte les spécificités de chacun dans la mise en œuvre des politiques publiques","Manager·euse stratégique et d’équipes reconnu·e, vous avez une solide expérience en direction générale ou postes
stratégiques en secteur public.Doté·e de compétences relationnelles de haut niveau, vous savez dialoguer avec les élu·e·s, et savez articuler une vision
stratégique métropolitaine et la mise en oeuvre en proximité.Vous savez fédérer vos équipes de cadres directeurs, donner du sens, et traduire auprès d’eux l’intention politiques et les
politiques publiques.Vous avez été mobilisé·e sur des enjeux de gestion de l'ordre public."
1720689874-28,Opérateur de vidéoprotection H/F,Opérateur de vidéoprotection H/F,Réf. : 2024-10269,Opérateur de vidéoprotection H/F,"Observation, analyse et exploitation des images de vidéoprotection
 • Utiliser et maîtriser le système d'exploitation vidéo
 • Repérer activement sur écran des événements significatifs
 • Analyser l'information et la relayer vers les services compétents
 • Extraire dans un cadre judiciaire les images enregistrées
 • Visionner des images enregistrées dans le cadre légal
 • S’assurer de la destruction des images conformément aux règlements et procédures en vigueur
 • Rédiger des documents de synthèse (main courante, signalements, rapports, etc.)
 • Prendre en compte les informations issues des partenaires de la sécurité
 
 Participation à la maintenance technique de premier niveau des équipements de vidéoprotection
 • Signaler les pannes auprès des interlocuteurs compétents et les valider après service fait
 • Aider les techniciens de maintenance dans leur diagnostic
 • Assurer les interventions de maintenance de 1er niveau (levée de doute)
 
 Contribution au fonctionnement et à l'organisation du centre de supervision urbain (contrôle d’accès, assurer la transmission lors des roulements d’équipes, alerter en cas de dysfonctionnement, faire des propositions pour améliorer le fonctionnement du service). Lieu de travail : secteur centre-ville de Nantes
 Le centre de supervision fonctionne 24h/24 et 7J/7. Vous travaillez en 3X8 sur la base d’un planning en roulement préétabli à 7 semaines sur les horaires suivants : 06h00 13h15 / 13h00 22h30 / 21h00 06h30
 Travail 1 week-end sur 2.","Vous avez une expérience dans le domaine de la sécurité et dans le travail en horaire atypique. Une expérience en police municipale, nationale ou en gendarmerie constitue un atout pour ce poste.Doté·e d’un excellent sens de l’observation et de l’analyse, vous êtes reconnu·e pour votre conscience professionnelle, votre respect des consignes et votre discrétion.Votre réactivité et votre capacité à réagir de façon adaptée et avec sang-froid sont des qualités nécessaires pour la bonne tenue de ce poste.La maîtrise des outils informatiques, une aisance à retranscrire factuellement une synthèse de faits observés et le sens du service public sont également des prérequis.Vous êtes en capacité de prendre du recul face aux situations complexes et de gérer un rythme de travail en 3X8.Des connaissances théoriques sur la réglementation de la vidéo protection et son exploitation seront des atouts supplémentaires."
1720689874-163,"Chargé emploi, mobilité et compétences H/F","Chargé emploi, mobilité et compétences H/F",Réf. : 2024-10000,"Chargé emploi, mobilité et compétences H/F","Sous l'autorité de la responsable Emploi Mobilité Compétences, vous assurez la mise en œuvre des dispositifs liés à l'emploi permettant à votre portefeuille de Directions opérationnelles de disposer des moyens humains en effectif et en compétences nécessaires au déploiement des politiques publiques (développement économique, culture, fonctions ressources : finances, numérique, bâtiment...). 
Vos missions seront :Vous procédez aux recrutements permanents (analyse des besoins, rédaction des annonces, réalisation des entretiens, suivi d’intégration).Vous participez à la gestion de l’emploi (gestion des postes et des effectifs, GPEC, étude de poste, gestion des contrats).Vous apportez un appui dans l'accompagnement et le conseil aux directions opérationnelles en matière RH (changements organisationnels, ...). Lieu de travail : Bâtiment Cambridge- 97 rue Bonne Garde à Nantes","Vous disposez d'une expérience en gestion des ressources humaines et possédez une connaissance du statut de la fonction publique territoriale et des métiers des collectivitésVous maîtrisez les techniques de recrutement, de conduite d'entretien, les outils de recherche d'emploi ainsi que les outils bureautiques.Vous êtes reconnu.e pour vos qualités d’écoute et de conseil et vous appréciez d’être dans un rôle d’accompagnement.Vous possédez des capacités d'analyse, de synthèse et des qualités rédactionnelles.Vous savez travailler en autonomie avec rigueur, organisation et discrétion, en équipe et en transversalité. 
Rémunération et avantages sociaux :• Statutaire + Régime indemnitaire + Prime de service public• Titres de restauration, Participation mutuelle et prévoyance, COS, Aides aux famille"
1720689894-29,Chauffagiste H/F,Chauffagiste H/F,Réf. : 2024-9585,Chauffagiste H/F,"Rattaché·e au responsable d'équipe, vous assurez la conduite, les interventions de maintenance et dépannage des installations de chauffage et de ventilation, ainsi que les interventions d’ordre électrique liées au pilotage des systèmes de chauffage.À ce titre vos missions sont : Réaliser des opérations de maintenance et de dépannage des installations de chauffage et effectuer des interventions sur les régulations de ces systèmes et optimisation des consommations.Programmer les opérations d’entretien préventif et curatif des installations existantes.Déterminer les fournitures nécessaires aux interventions et pour le suivi, informer le·a technicien·ne et l’interlocuteur·rice dans le bâtiment des suites à donner.Procéder à l’amélioration des installations,  paramétrer les régulateurs et remplacer si nécessaire le matériel de régulation.Prendre en compte les obligations réglementaires internes en termes de qualité, sécurité et environnement applicables à votre activité.","Compétences et/ou expériences attendues Très bonnes connaissances professionnelles en chauffage et en électricité bâtiment et industrie.Connaissance de la réglementation chauffage dans les ERP.Autonomie, rigueur.Le permis B est obligatoire.Ces missions vous intéressent, rejoignez-nous !"
1720689894-164,Responsable du Pôle Politiques Publiques Dialoguées H/F,Responsable du Pôle Politiques Publiques Dialoguées H/F,Réf. : 2024-10438,Responsable du Pôle Politiques Publiques Dialoguées H/F,"La Direction Démocratie et Stratégie recherche un·e Responsable du Pôle Politiques Publiques Dialoguées ! Votre mission principale ? Vous pilotez la mise en œuvre des démarches participatives et de dialogue citoyen. En responsabilité du Pôle ""Dialogue Citoyen et Évaluation des politiques publiques"", et avec l'appui des chargé·es de mission, vous assurez la bonne mise en œuvre du programme dans le respect des principes de dialogue citoyen. Au sein de la collectivité, vous confortez la culture de la mise en débat et la diffusion des pratiques d'évaluation des politiques publiques.A ce titre votre poste se décline en plusieurs axes :Axe Managérial / interne : Vous assez une représentation dans les instances stratégiques et techniques du volet dialogue citoyen et évaluation des politiques publiquesVous encadrez les chargé·es de mission du Pôle, vous assurez une mission de conseil, d'accompagnement méthodologique et d'arbitrage de premier niveau. Vous encadrez fonctionnellement l'assistante de service en lien avec les responsables de pôles.Vous animez une réflexion continue sur l'outillage et les modes de faire participatifs et évaluatifs.Vous organisez un reporting régulier sur la mise en œuvre du programme et identifiez les questionnements et analyses contribuant à l'aide à la décisionAxe Développement et Stratégie :Vous contribuez à la réflexion stratégique sur la mise en œuvre du programme de dialogue citoyen dans le champ des politiques publiques dialoguées, et à l’élaboration du prochain programme.Vous accompagnez le développement des pratiques internes et leur valorisationVous pilotez des démarches réflexives sur l’évolution des modes de faire (évaluation, dialogue citoyen) au sein de la collectivité dans le respect des engagements politiques et techniques de la collectivité Vous nourrissez une veille sur les démarches participatives innovantes en France et à l’étranger en matière de dialogue et d’évaluation participative ;Vous assurez une représentation externe de la métropole sur ce champs auprès des partenaires (Auran, Université de Nantes...)  ; assurez la valorisation des pratiques métropolitaines dans les réseaux (SFE, Clubs locaux, France Urbaine...), dans les évènements.Axe Pilotage des démarches :Vous assurez la mise en œuvre des démarches de dialogue citoyen et d'évaluation des politiques publiques inscrites au programmeVous apportez des ressources/conseils aux directions dans la conception de leurs projets et processus participatifsVous assurez le pilotage des démarches de dialogue citoyen ou d'évaluation des politiques publiques ainsi que le pilotage des actions en faveur de ces thématiques (programme de sensibilisation, outils méthodologiques...etc)Vous assurez le respect du principe de transparence des démarches et des résultats (outils internes à la direction).","Savoirs :Très bonne connaissance des collectivités locales et des politiques publiques territorialesMaîtrise des pilotages complexesCompétence et expertise en matière de conception, réalisation et animation de démarche participative (aspect méthodologique),Bonne connaissance des pratiques d’évaluation des politiques publiques et des pratiques de participationMaîtrise des techniques d’enquêtes et de recueil de donnéesSavoir-faire :Conduite de projets transversaux et complexes;Management hiérarchique et transversal ;Capacité de structuration et reporting stratégique ;Animation de groupe de travail ;Capacités de restitution orale et aisance rédactionnelle ;Esprit d’analyse et de synthèseSavoir-faire relationnels :Pédagogie, capacités relationnelles et d’écoute ;Créativité, disponibilité, réactivité,Polyvalence, adaptabilité en fonction des thématiques traités et des acteurs rencontrés Informations complémentaires :
- Localisation du poste : 2 avenue Carnot 44000 Nantes
- Horaires variables / forfait cadre
- Ponctuellement, travail en soirée et/ou le week-end
- Télétravail"
1720689914-30,Maçon paveur H/F,Maçon paveur H/F,Réf. : 2024-9424,Maçon paveur H/F,"Rattaché·e au chef d'équipe, vous assurez la maintenance de voirie.Vos missions sont :Surveillance du domaine public routier.Montage, assemblage et scellement de panneaux de police, des mobiliers urbains…Pose éléments modulaires (bordures, caniveaux, pavés et dalles).Mise en œuvre de grave naturelle, de béton bitumineux.Maçonneries diverses (regard/élévation/liants spéciaux).Mise en place et repli de signalisation temporaire liée aux travaux.Implantation et repérage des réseaux, nivellement simple et métré.Conduite de petits engins de chantier (compresseur, motobasculeur, cylindre, etc.).Réalisation de toute tache nécessaire à la continuité du service (signalisation horizontale ou verticale, installation/repli de signalisation temporaire pour manifestations …).","Compétences et/ou expériences attenduesConnaissances techniques en pavage, maçonnerie et VRD et ou formation dans le domaine.Connaissance des règles de sécurité et de prévention sur chantier.Vous êtes titulaire du permis B, le permis EB et C souhaités.Vous avez l'autorisation de conduite mini enginsCe poste vous intéresse, rejoignez-nous !"
1720689914-165,Coordonnateur process production eau potable H/F H/F H/F,Coordonnateur process production eau potable H/F H/F H/F,Réf. : 2024-10445,Coordonnateur process production eau potable H/F H/F H/F,"Vous coordonnez avec deux autres techniciens, le fonctionnement global du process eau potable (usine et stations) en veillant au bon fonctionnement des étapes du process, des interventions de maintenance et à la planification des mises à disposition des ouvrages et des équipements.
Vous participez au diagnostic des dysfonctionnements du process et à leur résolution, en proposant des actions de fiabilisation et d’amélioration.
Vous assistez à la mise en service des nouvelles installations et participez à la mise à jour des procédures.
Vous assurez le management d'une équipe d'exploitation de l'usine.
Vous respectez et faites respecter les consignes de sécurité et de sûreté.
Vous garantissez la pérennité et l’évolution des installations de l’usine de l’eau et des sites associés.
Vous respectez les consignes de Sécurité des Systèmes d'Information Industriels.
Vous déployez le système de management de la DOPEA au sein des services en articulation avec le processus
 
Lieu de travail : Usine de l'Eau La Roche - 100 Boulevard de Seattle - 44300 NANTES","Titulaire d’un diplôme BAC+2 ou +3 des métiers de l’électrotechnique, MEI, GEMEAU ou Métiers de l’eau, vous maîtrisez les outils bureautiques.
Des connaissances en hydraulique, électricité et automatisme seraient appréciées.
Proactif.ve, vous êtes doté·e de fortes qualités de management, d’animation et de communication. Vous travaillez en équipe ou en autonomie, en priorisant vos activités, dans la transparence, le dialogue et la transversalité."
